Ticker ADR,Beta,P/E API control,EPS TTM,Próximo earnings,Estado fecha earnings,Último reporte,EPS estimado último,EPS reportado último,Sorpresa EPS %,Actualizado overview,Actualizado calendario,Actualizado earnings
BBAR,0.027,18.43,1.04,2026-08-19,estimated,2026-05-26,1.05,0.27,-74.2857,2026-07-28T13:03:01.423914+00:00,2026-08-14T11:59:16.892564+00:00,2026-06-22T13:56:10.134616+00:00
BMA,0.5,23.82,3.87,2026-08-26,estimated,2026-05-27,2170.18,1.5468,-99.9287,2026-07-29T13:10:28.141303+00:00,2026-08-14T11:59:16.892564+00:00,2026-06-22T13:56:10.134616+00:00
CEPU,-0.173,7.15,2.01,2026-08-13,estimated,2026-08-11,0.28,1.4,400.0,2026-07-30T12:55:39.756674+00:00,2026-08-06T13:03:36.076369+00:00,2026-06-22T13:56:10.134616+00:00
CRESY,-0.063,5.78,1.94,2026-09-03,estimated,2026-05-07,,0.4466,,2026-08-03T13:48:42.192554+00:00,2026-08-14T11:59:16.892564+00:00,2026-06-22T13:56:10.134616+00:00
EDN,-0.069,5.58,4.73,2026-08-10,estimated,2026-08-10,,0.64,,2026-08-04T13:11:51.713908+00:00,2026-08-06T13:03:36.076369+00:00,2026-06-22T13:56:10.134616+00:00
GGAL,0.315,139.77,0.35,2026-08-25,estimated,2026-05-13,1.04,0.2983,-71.3173,2026-08-05T13:03:32.418599+00:00,2026-08-14T11:59:16.892564+00:00,2026-06-22T13:56:10.134616+00:00
IRS,0.144,4.829,3.1,2026-09-01,estimated,2026-05-06,0.0,-0.2779,,2026-08-06T13:03:36.076369+00:00,2026-08-14T11:59:16.892564+00:00,
LOMA,0.686,51.38,0.21,2026-08-06,estimated,2026-08-06,0.15,0.05,-66.6667,2026-08-07T11:59:52.580953+00:00,2026-08-06T13:03:36.076369+00:00,
MELI,1.312,49.5,36.78,2026-08-03,estimated,2026-08-05,8.69,9.19,5.7537,2026-08-10T12:02:01.127619+00:00,2026-07-30T12:55:39.756674+00:00,
PAM,,,,2026-08-05,estimated,,,,,2026-07-27T13:45:01.138149+00:00,2026-07-30T12:55:39.756674+00:00,
SUPV,0.399,,-0.5,2026-08-12,estimated,2026-08-10,0.13,0.29,123.0769,2026-08-11T11:59:44.506381+00:00,2026-08-06T13:03:36.076369+00:00,
TEO,0.348,25.61,0.54,2026-08-11,estimated,2026-08-07,0.35,0.36,2.8571,2026-08-12T12:01:07.576457+00:00,2026-08-06T13:03:36.076369+00:00,
TGS,-0.512,14.34,1.96,2026-08-12,estimated,2026-08-03,0.63,0.23,-63.4921,2026-08-13T12:01:55.285110+00:00,2026-08-06T13:03:36.076369+00:00,
VIST,-0.459,8.71,7.6,2026-10-28,estimated,2026-07-16,3.15,2.38,-24.4444,2026-08-14T11:59:16.892564+00:00,2026-08-14T11:59:16.892564+00:00,
YPF,-0.073,1.29,38.8,2026-08-06,estimated,2026-08-03,2.84,0.13,-95.4225,2026-08-17T11:43:42.075492+00:00,2026-08-06T13:03:36.076369+00:00,
