Ticker ADR,Ticker local/CEDEAR,Compañía,Sector,Rating / consenso,Target prom. 12m,Fecha actualización PT
CRESY,CRES,Cresud Sociedad,Agro/real estate,Buy,15.5,2026-06-18
GGAL,GGAL,Grupo Financiero Galicia,Bancos,Buy,67.4,2026-06-18
BMA,BMA,Banco Macro S.A.,Bancos,Strong Buy,112.3,2026-06-18
SUPV,SUPV,Grupo Supervielle,Bancos,Hold,12.8,2026-06-18
BBAR,BBAR,Banco BBVA Argentina S.A.,Bancos,Buy,24.7,2026-06-18
LOMA,LOMA,Loma Negra,Cemento,Buy,14.7,2026-06-18
MELI,MELI,MercadoLibre,E-commerce/fintech,Strong Buy,2230.0,2026-06-18
VIST,VIST,Vista Energy,Energía,Strong Buy,98.3,2026-06-18
YPF,YPFD,YPF Sociedad Anónima,Energía,Buy,56.4,2026-06-18
PAM,PAMP,Pampa Energía S.A.,Energía/Utilities,Buy,115.1,2026-06-18
CEPU,CEPU,Central Puerto S.A.,Energía/Utilities,Buy,21.5,2026-06-18
TGS,TGSU2,Transportadora de Gas del Sur,Gas/Utilities,Buy/Hold,38.2,2026-06-18
IRS,IRSA,IRSA,Real estate,Buy,21.3,2026-06-18
TEO,TECO2,Telecom Argentina S.A.,Telecom,Buy/Hold,13.8,2026-06-18
EDN,EDN,Empresa Distribuidora,Utilities eléctricas,Hold,38.5,2026-06-18
